Date,Ticker,Close,High,Low,Open,Volume
2025-10-31,WDAY,239.9199981689453,241.32000732421875,231.13999938964844,232.72999572753906,1748095
2025-10-31,WMB,57.869998931884766,58.11000061035156,57.20000076293945,57.459999084472656,7026972
2025-10-31,WT,11.960000038146973,12.3100004196167,11.734999656677246,12.3100004196167,4549716
2025-10-31,WTW,313.1000061035156,316.2200012207031,311.70001220703125,312.57000732421875,910617
2025-10-31,WU,9.329999923706055,9.396499633789062,9.119999885559082,9.270000457763672,11986354
2025-10-31,WWW,22.700000762939453,23.149999618530273,22.530099868774414,23.049999237060547,1625435
2025-10-31,WYNN,118.98999786376953,120.05000305175781,117.80000305175781,119.27999877929688,1465535
2025-10-31,XEL,81.16999816894531,81.80000305175781,79.80999755859375,81.18000030517578,6202750
2025-10-31,XHR,12.300000190734863,12.5,11.75,12.3100004196167,1352626
2025-10-31,XNCR,14.710000038146973,14.850000381469727,13.800000190734863,14.130000114440918,1157157
2025-10-31,XPEL,34.099998474121094,34.9900016784668,33.560001373291016,34.77000045776367,422143
2025-10-31,XYL,150.85000610351562,151.85699462890625,149.75,151.1699981689453,950321
2025-10-31,YELP,32.97999954223633,33.150001525878906,32.220001220703125,32.22999954223633,748025
2025-10-31,YOU,30.469999313354492,31.3799991607666,30.469999313354492,31.299999237060547,1051457
2025-10-31,YUM,138.2100067138672,138.4600067138672,137.3300018310547,138.4199981689453,2422598
2025-10-31,ZBH,100.55999755859375,101.86499786376953,98.0,98.6500015258789,1775509
2025-10-31,ZBRA,269.25,272.07000732421875,261.6000061035156,264.5299987792969,635253
2025-10-31,ZD,33.900001525878906,34.189998626708984,33.525001525878906,33.68000030517578,520450
2025-10-31,ZTS,144.08999633789062,144.67999267578125,142.30999755859375,142.57000732421875,2435011
2025-10-31,ZWS,47.11000061035156,47.7599983215332,46.220001220703125,46.54999923706055,555498
